model_06/08_12:19 epoch : 0 ,Train_Acc: 0.56 ,Val_Acc: 0.52 ,Train_Loss: 0.2471 ,Val_Loss: 0.2525
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.54 ,Val_Acc: 0.5 ,Train_Loss: 0.2441 ,Val_Loss: 0.2515
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.46 ,Val_Acc: 0.48 ,Train_Loss: 0.2546 ,Val_Loss: 0.25
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.58 ,Val_Acc: 0.54 ,Train_Loss: 0.245 ,Val_Loss: 0.2467
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.58 ,Val_Acc: 0.59 ,Train_Loss: 0.239 ,Val_Loss: 0.2421
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.62 ,Val_Acc: 0.59 ,Train_Loss: 0.2398 ,Val_Loss: 0.2447
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.58 ,Val_Acc: 0.51 ,Train_Loss: 0.2403 ,Val_Loss: 0.247
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.64 ,Val_Acc: 0.52 ,Train_Loss: 0.2385 ,Val_Loss: 0.2423
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.58 ,Val_Acc: 0.55 ,Train_Loss: 0.2422 ,Val_Loss: 0.2491
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.6 ,Val_Acc: 0.59 ,Train_Loss: 0.2331 ,Val_Loss: 0.237
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.6 ,Val_Acc: 0.63 ,Train_Loss: 0.2344 ,Val_Loss: 0.237
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.7 ,Val_Acc: 0.66 ,Train_Loss: 0.2111 ,Val_Loss: 0.2178
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.58 ,Val_Acc: 0.55 ,Train_Loss: 0.2504 ,Val_Loss: 0.2489
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.58 ,Val_Acc: 0.65 ,Train_Loss: 0.2494 ,Val_Loss: 0.2284
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.64 ,Val_Acc: 0.63 ,Train_Loss: 0.2216 ,Val_Loss: 0.2212
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.64 ,Val_Acc: 0.64 ,Train_Loss: 0.2195 ,Val_Loss: 0.2163
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.64 ,Val_Acc: 0.69 ,Train_Loss: 0.2201 ,Val_Loss: 0.197
model_06/08_12:19 epoch : 0 ,Train_Acc: 0.68 ,Val_Acc: 0.61 ,Train_Loss: 0.2115 ,Val_Loss: 0.2225
